edge	PearsonCor
ENSDARG00000031495 (geneExprCor) ENSDARG00000005551	0.930272659478743
ENSDARG00000031495 (geneExprCor) ENSDARG00000007960	0.8180092113938
ENSDARG00000031495 (geneExprCor) ENSDARG00000010487	0.818019131592707
ENSDARG00000031495 (geneExprCor) ENSDARG00000011510	0.802266327684221
ENSDARG00000031495 (geneExprCor) ENSDARG00000013351	0.81709043662893
ENSDARG00000031495 (geneExprCor) ENSDARG00000014017	0.872895281473646
ENSDARG00000031495 (geneExprCor) ENSDARG00000015427	0.843658013748775
ENSDARG00000031495 (geneExprCor) ENSDARG00000023330	0.805892773306195
ENSDARG00000031495 (geneExprCor) ENSDARG00000028335	0.840983920493251
ENSDARG00000031495 (geneExprCor) ENSDARG00000029722	0.864746328760314
ENSDARG00000035325 (geneExprCor) ENSDARG00000004588	0.800528250321038
ENSDARG00000035325 (geneExprCor) ENSDARG00000005551	0.804224462237014
ENSDARG00000035325 (geneExprCor) ENSDARG00000012820	0.838155775347184
ENSDARG00000035325 (geneExprCor) ENSDARG00000015111	0.866695555913874
ENSDARG00000035325 (geneExprCor) ENSDARG00000017762	0.813069787357047
ENSDARG00000035325 (geneExprCor) ENSDARG00000029722	0.825497076874415
ENSDARG00000036161 (geneExprCor) ENSDARG00000005551	0.83503519795992
ENSDARG00000036161 (geneExprCor) ENSDARG00000007960	0.806347259774885
ENSDARG00000036161 (geneExprCor) ENSDARG00000013351	0.88217725780178
ENSDARG00000036161 (geneExprCor) ENSDARG00000014017	0.807125776825291
ENSDARG00000036161 (geneExprCor) ENSDARG00000015111	0.808770186654691
ENSDARG00000036161 (geneExprCor) ENSDARG00000028335	0.837594324540942
ENSDARG00000036161 (geneExprCor) ENSDARG00000029722	0.909944919989232
ENSDARG00000036161 (geneExprCor) ENSDARG00000031495	0.825981747389327
ENSDARG00000036161 (geneExprCor) ENSDARG00000035325	0.871260503089479
ENSDARG00000037109 (geneExprCor) ENSDARG00000019339	0.881258723332828
ENSDARG00000037109 (geneExprCor) ENSDARG00000029479	0.831861443032119
ENSDARG00000037551 (geneExprCor) ENSDARG00000000887	0.921181118620608
ENSDARG00000037551 (geneExprCor) ENSDARG00000004874	0.865272077012287
ENSDARG00000037551 (geneExprCor) ENSDARG00000007601	0.953462871179952
ENSDARG00000037551 (geneExprCor) ENSDARG00000011932	0.893242554076114
