ENSDARG00000001057
ENSDARG00000001767
ENSDARG00000003860
ENSDARG00000004576
ENSDARG00000004806
ENSDARG00000006219
ENSDARG00000007130
ENSDARG00000007241
ENSDARG00000012495
ENSDARG00000012820
ENSDARG00000018902
ENSDARG00000018903
ENSDARG00000019507
ENSDARG00000019791
ENSDARG00000022232
ENSDARG00000022410
ENSDARG00000024561
ENSDARG00000030789
ENSDARG00000033993
ENSDARG00000038312
ENSDARG00000039578
ENSDARG00000040041
ENSDARG00000040553
ENSDARG00000040557
ENSDARG00000041493
ENSDARG00000041991
ENSDARG00000042527
ENSDARG00000045562
ENSDARG00000045565
ENSDARG00000045695
ENSDARG00000053405
ENSDARG00000054334
ENSDARG00000054540
ENSDARG00000055760
ENSDARG00000056160
ENSDARG00000056167
ENSDARG00000057414
ENSDARG00000059075
ENSDARG00000061993
ENSDARG00000062457
ENSDARG00000074756
ENSDARG00000074807
ENSDARG00000077264
ENSDARG00000077728
ENSDARG00000077859
ENSDARG00000078214
ENSDARG00000087555
ENSDARG00000087937
ENSDARG00000090337
ENSDARG00000098108
ENSDARG00000098666
ENSDARG00000098825
ENSDARG00000099078
ENSDARG00000099280
ENSDARG00000101482
ENSDARG00000104760
ENSDARG00000112165
