ENSDARG00000000001
ENSDARG00000000369
ENSDARG00000000460
ENSDARG00000000551
ENSDARG00000000563
ENSDARG00000000656
ENSDARG00000000690
ENSDARG00000000767
ENSDARG00000000804
ENSDARG00000000887
ENSDARG00000000906
ENSDARG00000001303
ENSDARG00000001431
ENSDARG00000001557
ENSDARG00000001558
ENSDARG00000001656
ENSDARG00000001712
ENSDARG00000001767
ENSDARG00000001782
ENSDARG00000001889
ENSDARG00000001937
ENSDARG00000002084
ENSDARG00000002165
ENSDARG00000002193
ENSDARG00000002204
ENSDARG00000002267
ENSDARG00000002353
ENSDARG00000002401
ENSDARG00000002403
ENSDARG00000002445
ENSDARG00000002494
ENSDARG00000002549
ENSDARG00000002589
ENSDARG00000002613
ENSDARG00000002696
ENSDARG00000002779
ENSDARG00000002831
ENSDARG00000002894
ENSDARG00000002956
ENSDARG00000002959
ENSDARG00000003081
ENSDARG00000003200
ENSDARG00000003203
ENSDARG00000003250
ENSDARG00000003475
ENSDARG00000003519
ENSDARG00000003570
ENSDARG00000003695
ENSDARG00000003757
ENSDARG00000003797
ENSDARG00000003808
ENSDARG00000003820
ENSDARG00000003835
ENSDARG00000003860
ENSDARG00000003902
ENSDARG00000003904
ENSDARG00000003968
ENSDARG00000003970
ENSDARG00000003984
ENSDARG00000004017
ENSDARG00000004034
ENSDARG00000004049
ENSDARG00000004169
ENSDARG00000004173
ENSDARG00000004261
ENSDARG00000004301
ENSDARG00000004377
ENSDARG00000004378
ENSDARG00000004433
ENSDARG00000004455
ENSDARG00000004470
ENSDARG00000004529
ENSDARG00000004576
ENSDARG00000004687
ENSDARG00000004713
ENSDARG00000004754
ENSDARG00000004874
ENSDARG00000004906
ENSDARG00000004952
ENSDARG00000004954
ENSDARG00000004979
ENSDARG00000005058
ENSDARG00000005098
ENSDARG00000005108
ENSDARG00000005139
ENSDARG00000005220
ENSDARG00000005254
ENSDARG00000005274
ENSDARG00000005371
ENSDARG00000005414
ENSDARG00000005451
ENSDARG00000005454
ENSDARG00000005462
ENSDARG00000005463
ENSDARG00000005464
ENSDARG00000005485
ENSDARG00000005526
ENSDARG00000005619
ENSDARG00000005675
ENSDARG00000005776
ENSDARG00000005821
ENSDARG00000005894
ENSDARG00000005913
ENSDARG00000005926
ENSDARG00000005945
ENSDARG00000005989
ENSDARG00000005993
ENSDARG00000006003
ENSDARG00000006019
ENSDARG00000006040
ENSDARG00000006052
ENSDARG00000006074
ENSDARG00000006124
ENSDARG00000006260
ENSDARG00000006266
ENSDARG00000006385
ENSDARG00000006408
ENSDARG00000006409
ENSDARG00000006468
ENSDARG00000006560
ENSDARG00000006640
ENSDARG00000006719
ENSDARG00000006766
ENSDARG00000006811
ENSDARG00000006837
ENSDARG00000006848
ENSDARG00000006900
ENSDARG00000006924
ENSDARG00000006963
ENSDARG00000007009
ENSDARG00000007018
ENSDARG00000007080
ENSDARG00000007199
ENSDARG00000007221
ENSDARG00000007247
ENSDARG00000007276
ENSDARG00000007277
ENSDARG00000007358
ENSDARG00000007377
ENSDARG00000007553
ENSDARG00000007582
ENSDARG00000007601
ENSDARG00000007655
ENSDARG00000007783
ENSDARG00000007804
ENSDARG00000007813
ENSDARG00000007886
ENSDARG00000007955
ENSDARG00000007960
ENSDARG00000007971
